Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261876,280527,2022-04-25 14:30:38 CST,2022-04-25,14:30:38,Photo,"1,658",1520,77,17,6,1,2,1,7,27,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/540554230765170,因應疫情變化，以及相關防疫工作調整，今日將於傍晚5點半直播新竹市疫情說明記者會。 我也會在直播中針對民眾關心的疫情資訊一一報告，包含今日與CDC會議討論、新竹市確診資訊報告、居家照護關懷中心服務以及疫苗施打計畫等相關資訊。 邀請大家一起收看，了解新竹市最新的疫情發展。 ＃新竹市疫情說明記者 ＃5點半準時直播,https://www.facebook.com/photo.php?fbid=540553880765205&set=a.527058028781457&type=3,,,,,,,,-6.87
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261876,280527,2022-04-25 17:31:20 CST,2022-04-25,17:31:20,Live Video Complete,"1,837",1044,451,40,113,6,4,10,43,126,owned,Yes,44582,45315,0,00:33:04,https://www.facebook.com/100044317932312/posts/515972510245646,新竹市今天（4/25）新增43名確診個案，其中4例為居家隔離期間確診，22例為舊案接觸者，餘17例新增個案疫調中。今天的直播中，我們將說明大家關心的學童停課及疫苗相關問題。 今年以來，新竹市已經累積357名確診個案，全數皆為輕症或無症狀；居家照護關懷中心21日啟動以來，已收案108人管理中。 呼籲大家，一起落實自我防疫，佩戴口罩、勤洗手和保持社交距離。如果有相關症狀，可自行至國軍社區篩檢站採檢；也要盡快打滿三劑疫苗，守護彼此的健康！,https://www.facebook.com/taiwango0527/videos/515972510245646/,,,4/25新竹市疫情說明記者會,,,,,-1.39
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261876,280527,2022-04-25 20:00:03 CST,2022-04-25,20:00:03,Native Video,"2,337",2046,100,144,20,1,1,2,1,22,owned,Yes,31376,33028,0,00:01:57,https://www.facebook.com/100044317932312/posts/540665377420722,確診、被隔離怎麼辦？「＃新竹市居家照護關懷中心」line@上線了！一機在手，方便快速得到服務！ 不管是居家檢疫、居家隔離或是居家照護，都可以加入line@。但是要怎麼使用呢？趕快點進來，看我示範一次，真的簡單又方便！ ＃送餐申請_垃圾清運_視訊看診_警急救護 ＃還可以輸入關鍵字詢問 ＃加入網址看留言,https://www.facebook.com/taiwango0527/videos/743569460329087/,,,新竹市居家照護關懷中心line@上線了！,,,,,1.01
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261959,280604,2022-04-26 12:02:36 CST,2022-04-26,12:02:36,Photo,"1,377",1255,45,18,7,1,0,2,4,45,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/541168557370404,新竹市疫情說明會今天(4/26)下午2點半準時直播，我將向大家報告新竹市最新狀況，並說明 ＃接觸者居家隔離「3+4」方案內容。 Omicron傳播力高，但以無症狀或輕症為主，中央流行疫情指揮中心也強調，目前適度分配防疫及醫療量能，要讓防疫、生活及經濟平衡發展；我也要呼籲大家，面對疫情 ＃戒慎不恐懼，一起落實防疫，戴好口罩、勤洗手，保護自己也保護他人！,https://www.facebook.com/photo.php?fbid=541168544037072&set=a.527058018781458&type=3,,,,,,,,-8.28
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261959,280604,2022-04-26 14:41:59 CST,2022-04-26,14:41:59,Live Video Complete,"1,045",711,192,16,59,4,2,6,8,47,owned,Yes,28272,28591,0,00:34:27,https://www.facebook.com/100044317932312/posts/1212987859458943,歡迎大家收看今天(4/26)的新竹市疫情說明會，我將向大家報告新竹市最新狀況，並說明 ＃接觸者居家隔離「3+4」方案內容。 呼籲大家，面對疫情 ＃戒慎不恐懼，一起落實防疫，戴好口罩、勤洗手，保護自己也保護他人！,https://www.facebook.com/taiwango0527/videos/1212987859458943/,,,4/26新竹市疫情說明記者會,,,,,-2.44
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261959,280604,2022-04-26 16:18:17 CST,2022-04-26,16:18:17,Photo,"1,636",1467,88,36,4,5,1,3,3,29,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/541277080692885,新竹市今日(4/26)新增63例確診個案。今年累積420名個案中，100%皆為輕症或無症狀，目前有150人採居家照護方案。 我也要特別在此提出更正說明，今下午的CDC記者會中陳時中部長已提出修正，居家隔離3+4中的4天自主防疫，不建議上學，老師也不建議到學校教課。 疫情變化快速，防疫規範也會隨疫情即時調整，新竹市政府一定會協助大家一起度過疫情。我也要再次呼籲，確實遵守防疫規範，才能在生活跟防疫中取得平衡，讓疫情早日過去。,https://www.facebook.com/photo.php?fbid=541277057359554&set=a.527058018781458&type=3,,,,,,,,-6.97
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261959,280604,2022-04-26 19:21:37 CST,2022-04-26,19:21:37,Photo,"2,035",1862,84,68,11,2,1,0,1,6,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/541357254018201,跟爸爸媽媽們分享一個好消息，今年我們即將開設2歲的幼幼專班，小小孩也可以到公幼上學囉！ 今年我們的公幼一共新增了130個名額，總計超過1600個招生名額，讓越來越多孩子可以享受平價優質的教育機會！ ＃公幼及非營利幼兒園招生中 ＃2歲幼幼專班 ＃招生簡章連結看留言,https://www.facebook.com/photo.php?fbid=541357107351549&set=a.527058028781457&type=3,,,,,,,,-5.6
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261959,280604,2022-04-26 21:01:00 CST,2022-04-26,21:01:00,Photo,"3,749",2930,133,41,7,13,611,0,4,10,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/541398860680707,嗆新竹嗆夠囉！我才不許你這麼說！...請問船上有麥當勞嗎？ ＃國艦國造 ＃新竹艦 ＃新竹才不是美食沙漠 海巡署長室 Coast Guard,https://www.facebook.com/photo.php?fbid=541398597347400&set=a.527058028781457&type=3,,,,,,,,-3.04
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,262008,280644,2022-04-27 12:09:05 CST,2022-04-27,12:09:05,Photo,"2,493",2125,254,34,16,3,7,4,40,10,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/541856287301631,新竹好行！前瞻計畫2.0核定補助4.68億改善7處步行環境，步行城市再升級！ 下車走路，才能體會城市的魅力。這幾年我們持續打造步行城市，完成17處通學步道、東大亮點計畫、纜線地下化等建設，今年更成功爭取到中央「提升道路品質計畫2.0」，改善火車站、通學步道等7處步行環境。透過綠帶串聯起優質的公共建設，讓走路變成一件快樂的事！ ＃步行城市 ＃新竹好行,https://www.facebook.com/photo.php?fbid=541856087301651&set=a.527058028781457&type=3,,,,,,,,-4.57
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,262008,280644,2022-04-27 17:09:13 CST,2022-04-27,17:09:13,Photo,"1,017",903,67,10,7,1,1,0,1,27,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/541980277289232,新竹市疫情說明會在今天(4/27)下午5點30分直播，我將向大家報告新竹市最新防疫狀況，也會說明 ＃快篩實名制 在新竹的方案與校園防疫原則。 中央流行疫情指揮中心今天已經宣布取消簡訊實聯制，但現行戴口罩等防疫措施維持至5月31日，出門在外還是要記得 ＃戴口罩 、 ＃勤洗手消毒 ，做好防疫工作，保護自己與心愛的家人。,https://www.facebook.com/photo.php?fbid=541976007289659&set=a.527058028781457&type=3,,,,,,,,-11.21
